"# Voting Age Population (VAP) and registered voters, by municipality, ALL PROVINCES (national), per Local Government Election year 2000-2021."
"# Source: IEC Atlas GeoServer (atlas.elections.org.za), per-election-year municipality layers."
"# Raw / unfiltered by design -- province-level filtering (e.g. to Mpumalanga) to be done as a later cleaning step, not here."
municipality_code,municipality_name,province,election_year,voting_age_population,registered_voters
,EC05b2 - Umzimvubu [Mount Ayliff],Eastern Cape,2000,156656,115338
,EC05b3 - Matatiele [Matatiele],Eastern Cape,2000,3890,6127
EC101,Camdeboo [Graaff-Reinet],Eastern Cape,2000,23459,16984
EC102,Blue Crane Route [Somerset East],Eastern Cape,2000,19804,15838
EC103,Ikwezi [Jansenville],Eastern Cape,2000,5676,4537
EC104,Makana [Grahamstown],Eastern Cape,2000,45992,39607
EC105,Ndlambe [Port Alfred],Eastern Cape,2000,25057,24942
EC106,Sundays River Valley [Kirkwood],Eastern Cape,2000,27269,21236
EC107,Baviaans [Willowmore],Eastern Cape,2000,8634,6786
EC108,Kouga [Humansdorp],Eastern Cape,2000,35061,29884
EC109,Kou-Kamma [Kareedouw],Eastern Cape,2000,17507,13103
EC121,Mbhashe [Idutywa],Eastern Cape,2000,124371,79166
EC122,Mnquma [Butterworth],Eastern Cape,2000,128023,96880
EC123,Great Kei [Komga],Eastern Cape,2000,10051,9008
EC124,Amahlathi [Stutterheim],Eastern Cape,2000,43629,40279
EC125,Buffalo City [East London],Eastern Cape,2000,442908,380665
EC126,Ngqushwa [Peddie],Eastern Cape,2000,29447,27799
EC127,Nkonkobe [Alice],Eastern Cape,2000,76326,64975
EC128,Nxuba [Adelaide],Eastern Cape,2000,12744,11321
EC131,Inxuba Yethemba [Cradock],Eastern Cape,2000,32175,26011
EC132,Tsolwana [Tarkastad],Eastern Cape,2000,17125,14621
EC133,Inkwanca [Molteno],Eastern Cape,2000,9478,8882
EC134,Lukhanji [Queenstown],Eastern Cape,2000,83042,70817
EC135,Intsika Yethu [Cofimvaba],Eastern Cape,2000,72410,53493
EC136,Emalahleni [Lady Frere],Eastern Cape,2000,73093,59252
EC137,Engcobo [Engcobo],Eastern Cape,2000,80994,49579
EC138,Sakhisizwe [Elliot],Eastern Cape,2000,32278,24321
EC141,Elundini [Mount Fletcher],Eastern Cape,2000,59443,43398
EC142,Senqu [Barkly East],Eastern Cape,2000,62858,51044
EC143,Maletswai [Aliwal North],Eastern Cape,2000,17108,17253
EC144,Gariep [Burgersdorp],Eastern Cape,2000,14947,12624
EC151,Mbizana [Bizana],Eastern Cape,2000,92272,58242
EC152,Ntabankulu [Ntabankulu],Eastern Cape,2000,60928,36640
EC153,Qaukeni [Flagstaff (Ingquza Hill)],Eastern Cape,2000,172723,109877
EC154,Port St Johns [Port St Johns],Eastern Cape,2000,33653,19829
EC155,Nyandeni [Libode],Eastern Cape,2000,136718,76718
EC156,Mhlontlo [Qumbu],Eastern Cape,2000,98033,62512
EC157,King Sabata Dalindyebo [Umtata],Eastern Cape,2000,193556,133711
ECDMA10,Aberdeen Plain,Eastern Cape,2000,3394,2064
ECDMA13,Mount Zebra NP,Eastern Cape,2000,0,0
ECDMA14,Oviston Nature Reserve,Eastern Cape,2000,0,0
ECDMA44,O Conners Camp,Eastern Cape,2000,0,0
NMA,Nelson Mandela Bay [Port Elizabeth],Eastern Cape,2000,580396,472551
FS161,Letsemeng [Koffiefontein],Free State,2000,21168,15561
FS162,Kopanong [Trompsburg],Free State,2000,27488,20549
FS163,Mohokare [Zastron],Free State,2000,24852,16184
FS171,Naledi [Dewetsdorp],Free State,2000,9725,9163
FS172,Mangaung [Bloemfontein],Free State,2000,382623,314708
FS173,Mantsopa [Ladybrand],Free State,2000,17054,18432
FS181,Masilonyana [Theunissen],Free State,2000,41475,33378
FS182,Tokologo [Dealesville],Free State,2000,19029,13032
FS183,Tswelopele [Hoopstad],Free State,2000,41994,26801
FS184,Matjhabeng [Welkom],Free State,2000,261358,196080
FS185,Nala [Bothaville],Free State,2000,33636,31771
FS191,Setsoto [Senekal],Free State,2000,72800,55244
FS192,Dihlabeng [Bethlehem],Free State,2000,76996,62736
FS193,Nketoana [Reitz],Free State,2000,39423,28994
FS194,Maluti a Phofung [Qwa-Qwa],Free State,2000,190605,152867
FS195,Phumelela [Vrede],Free State,2000,13109,16930
FS201,Moqhaka [Kroonstad],Free State,2000,109317,81560
FS203,Ngwathe [Parys],Free State,2000,78684,59963
FS204,Metsimaholo [Sasolburg],Free State,2000,55559,50184
FS205,Mafube [Frankfort],Free State,2000,20091,21594
FSDMA19,Golden Gate Highlands NP,Free State,2000,0,0
,GT02b2 - Kungwini [Bronkhorstspruit],Gauteng,2000,46501,41572
,GT02b1 - Nokeng tsa Taemane [Cullinan],Gauteng,2000,36367,25421
EKU,Ekurhuleni [East Rand],Gauteng,2000,1214029,1083206
GT421,Emfuleni [Vereeniging],Gauteng,2000,364803,322571
GT422,Midvaal [Meyerton],Gauteng,2000,27651,19721
GT423,Lesedi [Heidelberg],Gauteng,2000,27394,31433
GT481,Mogale City [Krugersdorp],Gauteng,2000,142650,137094
GT482,Randfontein [Randfontein],Gauteng,2000,61519,55693
GT483,Westonaria [Westonaria],Gauteng,2000,79932,44576
GTDMA48,West Rand [Sterkfontein DMA],Gauteng,2000,0,0
JHB,City of Johannesburg [Johannesburg],Gauteng,2000,1771574,1622650
TSH,Tshwane Metro [Pretoria],Gauteng,2000,988918,870093
,KZ5a4 - Greater Kokstad [Kokstad],Kwazulu Natal,2000,12205,12340
,KZ5a6 - Umzimkhulu [Umzimkulu],Kwazulu Natal,2000,72702,52775
,KZ5a1 - Ingwe [Creighton],Kwazulu Natal,2000,307,690
,KZ5a2 - Kwa Sani [Underberg],Kwazulu Natal,2000,1241,2518
,KZ5a5 - Ubuhlebezwe [Ixopo],Kwazulu Natal,2000,2248,3394
ETH,eThekwini [Durban Metro],Kwazulu Natal,2000,1625771,1138863
KZ211,Vulamehlo [Dududu],Kwazulu Natal,2000,0,0
KZ212,Umdoni [Scottburgh],Kwazulu Natal,2000,16108,13182
KZ213,Umzumbe [Umzumbe],Kwazulu Natal,2000,274533,223643
KZ214,UMuziwabantu [Harding],Kwazulu Natal,2000,1840,2585
KZ215,Ezinqoleni [Izinqolweni],Kwazulu Natal,2000,0,0
KZ216,Hibiscus Coast [Port Shepstone],Kwazulu Natal,2000,44196,34864
KZ221,uMshwathi [Wartburg],Kwazulu Natal,2000,2993,3494
KZ222,uMngeni [Howick],Kwazulu Natal,2000,26187,20748
KZ223,Mooi Mpofana [Mooirivier],Kwazulu Natal,2000,5075,5321
KZ224,Impendle [Impendle],Kwazulu Natal,2000,351148,236698
KZ225,Msunduzi [Pietermaritzburg],Kwazulu Natal,2000,238095,161353
KZ226,Mkhambathini [Camperdown],Kwazulu Natal,2000,534,753
KZ227,Richmond [Richmond],Kwazulu Natal,2000,12247,10550
KZ232,Emnambithi/Ladysmith [Ladysmith],Kwazulu Natal,2000,295023,204728
KZ233,Indaka [Waaihoek],Kwazulu Natal,2000,0,0
KZ234,Umtshezi [Estcourt],Kwazulu Natal,2000,16954,14968
KZ235,Okhahlamba [Bergville],Kwazulu Natal,2000,1744,1786
KZ236,Imbabazane [Loskop],Kwazulu Natal,2000,0,0
KZ241,Endumeni [Dundee],Kwazulu Natal,2000,232152,167633
KZ242,Nqutu [Nqutu],Kwazulu Natal,2000,0,0
KZ244,Msinga [Pomeroy],Kwazulu Natal,2000,0,0
KZ245,Umvoti [Greytown],Kwazulu Natal,2000,6981,8601
KZ252,NeWESTERN CAPEastle [Newcastle],Kwazulu Natal,2000,143208,103460
KZ253,Utrecht [Utrecht],Kwazulu Natal,2000,1675,2345
KZ254,Dannhauser [Durnacol],Kwazulu Natal,2000,2591,1996
KZ261,eDumbe [Paulpietersburg],Kwazulu Natal,2000,4579,3031
KZ262,UPhongolo [Pongola],Kwazulu Natal,2000,8079,6408
KZ263,Abaqulusi [Vryheid],Kwazulu Natal,2000,290583,236359
KZ265,Nongoma [Nongoma],Kwazulu Natal,2000,317,5446
KZ266,Ulundi [Ulundi],Kwazulu Natal,2000,12289,8347
KZ271,Umhlabuyalingana [Emangusi],Kwazulu Natal,2000,0,0
KZ272,Jozini [Mkuze],Kwazulu Natal,2000,0,0
KZ273,The Big 5 False Bay [Hluhluwe],Kwazulu Natal,2000,0,0
KZ274,Hlabisa [Somkele],Kwazulu Natal,2000,576607,463920
KZ275,Mtubatuba [Mtubatuba],Kwazulu Natal,2000,5830,8058
KZ281,Mbonambi [KwaMbonambi],Kwazulu Natal,2000,0,0
KZ282,uMhlathuze [Richards Bay],Kwazulu Natal,2000,62347,51625
KZ283,Ntambana [Ntambana],Kwazulu Natal,2000,0,0
KZ284,uMlalazi [Eshowe],Kwazulu Natal,2000,9283,10341
KZ285,Mthonjaneni [Melmoth],Kwazulu Natal,2000,2410,3291
KZ286,Nkandla [Nkandla],Kwazulu Natal,2000,0,0
KZ291,eNdondakusuka [Mandeni],Kwazulu Natal,2000,14260,12968
KZ292,KwaDukuza [Stanger],Kwazulu Natal,2000,37048,48170
KZ293,Ndwedwe [Ndwedwe],Kwazulu Natal,2000,348364,203377
KZ294,Maphumulo [Maphumulo],Kwazulu Natal,2000,0,0
KZDMA22,Highmoor/Kamberg Park,Kwazulu Natal,2000,0,0
KZDMA23,Gaints Castle Game Reserve,Kwazulu Natal,2000,0,0
KZDMA27,St Lucia Park,Kwazulu Natal,2000,0,0
KZDMA43,Mkhomazi Wilderness area,Kwazulu Natal,2000,0,0
MP301,Albert Luthuli [Elukwatini/Carolina],Mpumalanga,2000,81158,71076
MP302,Msukaligwa [Ermelo],Mpumalanga,2000,69072,55221
MP303,Mkhondo [Piet Retief],Mpumalanga,2000,40068,36469
MP304,Pixley Ka Seme [Volksrust],Mpumalanga,2000,50813,41553
MP305,Lekwa [Standerton],Mpumalanga,2000,54313,43769
MP306,Dipaleseng [Balfour],Mpumalanga,2000,22806,16832
MP307,Govan Mbeki [Highveld Ridge],Mpumalanga,2000,130497,111615
MP311,Delmas [Delmas],Mpumalanga,2000,30866,22228
MP312,Emalahleni [Witbank],Mpumalanga,2000,152650,131400
MP313,Steve Tshwete [Middelburg],Mpumalanga,2000,83883,80510
MP314,Highlands [Belfast],Mpumalanga,2000,20588,19927
MP315,Thembisile [KwaMhlanga],Mpumalanga,2000,126119,98845
MP316,Dr JS Moroka [Mdutjana],Mpumalanga,2000,129945,101456
MP321,Thaba Chweu [Sabie],Mpumalanga,2000,50424,38926
MP322,Mbombela [Nelspruit],Mpumalanga,2000,158223,130563
MP323,Umjindi [Barberton],Mpumalanga,2000,30183,20957
MP324,Nkomazi [Nkomazi],Mpumalanga,2000,132883,101101
MP325,Bushbuckridge [Bushbuckridge],Mpumalanga,2000,263997,165951
MPDMA32,Kruger Park,Mpumalanga,2000,0,0
